電力会社,氏名,役職(2007),役職(2008),役職(2009),役職(2010),役職(2011),万円(2007),万円(2008),万円(2009),万円(2010),万円(2011)
東京電力,桝本　晃章,顧問,N/A,N/A,N/A,N/A,20,N/A,N/A,N/A,N/A
東京電力,村田　隆,N/A,N/A,N/A,N/A,N/A,20,20,20,15,N/A
東京電力,森本　宣久,取締役,取締役,取締役,N/A,N/A,24,24,24,N/A,N/A
東京電力,林　喬,N/A,N/A,N/A,N/A,N/A,10,10,10,N/A,N/A
東京電力,田村　滋美,会長,N/A,N/A,N/A,N/A,30,20,20,15,N/A
東京電力,勝俣　恒久,社長,会長,会長,会長,会長,30,30,30,30,N/A
東京電力,白川　進,副社長,副社長,副社長,N/A,N/A,24,24,24,7,N/A
東京電力,清水　正孝,副社長,社長,社長,社長,N/A,24,30,30,30,N/A
東京電力,武黒　一郎,副社長,副社長,副社長,N/A,N/A,24,24,24,15,N/A
東京電力,鼓　紀男,副社長,副社長,副社長,副社長,副社長,24,24,24,20,N/A
東京電力,藤本　孝,副社長,副社長,副社長,副社長,副社長,24,24,24,20,N/A
東京電力,木村　滋,副社長,副社長,副社長,取締役,取締役,24,24,24,20,N/A
東京電力,中村　秋夫,常務取締役,N/A,N/A,N/A,N/A,12,N/A,N/A,N/A,N/A
東京電力,猪野　博行,常務取締役,副社長,副社長,N/A,N/A,12,24,24,N/A,N/A
東京電力,山崎　雅男,常務取締役,常務取締役,常務取締役,副社長,副社長,12,12,12,20,N/A
東京電力,尾崎　功,常務取締役,N/A,N/A,N/A,N/A,19,N/A,N/A,N/A,N/A
東京電力,武井　優,常務取締役,常務取締役,常務取締役,副社長,副社長,12,12,12,20,N/A
東京電力,山口　博,常務取締役,常務取締役,常務取締役,常務取締役,常務取締役,19,12,12,10,N/A
東京電力,橋本　哲,常務取締役,常務取締役,N/A,N/A,N/A,19,12,N/A,N/A,N/A
東京電力,藤原　万喜夫,常務取締役,常務取締役,常務取締役,副社長,N/A,12,12,12,20,N/A
東京電力,武藤　栄,N/A,常務取締役,常務取締役,副社長,N/A,N/A,12,12,20,N/A
東京電力,西澤　俊夫,N/A,常務取締役,常務取締役,常務取締役,社長,N/A,12,12,10,N/A
東京電力,内藤　義博,N/A,常務取締役,常務取締役,常務取締役,常務取締役,N/A,12,12,10,N/A
東京電力,相澤　善吾,N/A,常務取締役,N/A,常務取締役,副社長,N/A,12,N/A,22,N/A
東京電力,荒井　隆男,N/A,N/A,常務取締役,常務取締役,常務取締役,N/A,N/A,12,10,N/A
東京電力,高津　浩明,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,10,N/A
東京電力,廣瀬　直己,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,17,N/A
東京電力,小森　明生,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,10,N/A
東京電力,宮本　史昭,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,10,N/A
東京電力,森田　富治郎,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A,N/A
東京電力,青山　佾,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,N/A,N/A
東京電力,佐野　敏弘,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
関西電力,森　詳介,社長,社長,N/A,会長,会長,30,30,N/A,N/A,N/A
関西電力,森本　浩志,副社長,副社長,N/A,N/A,N/A,20,20,N/A,N/A,N/A
関西電力,齊藤　紀彦,副社長,副社長,副社長,副社長,N/A,20,20,20,N/A,N/A
関西電力,神野　榮,副社長,副社長,副社長,副社長,N/A,20,20,20,N/A,N/A
関西電力,向井　利明,副社長,副社長,副社長,副社長,N/A,20,20,20,N/A,N/A
関西電力,岩田　満泰,副社長,副社長,N/A,N/A,N/A,20,20,N/A,N/A,N/A
関西電力,藤井　眞澄,常務取締役,常務取締役,常務取締役,N/A,N/A,12,12,12,N/A,N/A
関西電力,八木　誠,常務取締役,常務取締役,N/A,社長,社長,12,12,N/A,N/A,N/A
関西電力,寺本　嵩,常務取締役,常務取締役,N/A,N/A,N/A,12,12,N/A,N/A,N/A
関西電力,中森　朝明,常務取締役,常務取締役,常務取締役,N/A,N/A,12,12,12,N/A,N/A
関西電力,濱田　康男,常務取締役,常務取締役,N/A,副社長,N/A,12,12,N/A,20,N/A
関西電力,藤野　隆雄,常務取締役,常務取締役,N/A,N/A,N/A,12,12,N/A,N/A,N/A
関西電力,井狩　雅文,常務取締役,常務取締役,常務取締役,常務取締役,副社長,12,12,12,N/A,N/A
関西電力,生駒　昌夫,常務取締役,常務取締役,常務取締役,常務取締役,副社長,12,12,12,N/A,N/A
関西電力,甲角　健,取締役,取締役,N/A,N/A,N/A,10,10,N/A,N/A,N/A
関西電力,竹内　剛志,取締役,取締役,N/A,N/A,N/A,10,10,N/A,N/A,N/A
関西電力,廣江　譲,取締役,取締役,常務取締役,取締役,常務取締役,10,10,12,N/A,N/A
関西電力,橋本　徳昭,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,12,N/A
関西電力,迎　陽一,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,12,N/A
関西電力,豊松　秀己,N/A,N/A,N/A,常務取締役,副社長,N/A,N/A,N/A,12,N/A
関西電力,香川　次朗,N/A,N/A,N/A,常務取締役,副社長,N/A,N/A,N/A,12,N/A
関西電力,土井　義宏,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,12,N/A
関西電力,白井　良平,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,N/A,N/A
関西電力,岩根　茂樹,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,N/A,N/A
関西電力,岩谷　全啓,N/A,N/A,N/A,常務取締役,常務取締役,N/A,N/A,N/A,N/A,N/A
関西電力,井上　礼之,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,N/A,N/A
関西電力,辻井　昭雄,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,N/A,N/A
関西電力,玉越　良助,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,N/A,N/A
関西電力,八嶋　康博,N/A,N/A,N/A,N/A,常務取締役,N/A,N/A,N/A,N/A,N/A
関西電力,川邉　辰也,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A
関西電力,稲田　豊,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A
中部電力,川口　文夫,会長,会長,会長,N/A,N/A,32,32,32,9,8
中部電力,三田　敏雄,社長,社長,社長,会長,会長,32,32,32,30,N/A
中部電力,越智　洋,副社長,副社長,N/A,N/A,N/A,26,26,N/A,N/A,N/A
中部電力,水谷　四郎,副社長,副社長,N/A,N/A,N/A,26,26,N/A,9,N/A
中部電力,浅野　晴彦,副社長,副社長,副社長,N/A,N/A,26,26,26,N/A,N/A
中部電力,各務　正博,副社長,副社長,N/A,N/A,N/A,26,26,N/A,N/A,N/A
中部電力,宮池　克人,副社長,副社長,副社長,副社長,副社長,26,26,26,24,10
中部電力,野坂　敏幸,取締役,取締役,取締役,N/A,N/A,16,16,16,N/A,N/A
中部電力,久米　雄二,取締役,取締役,取締役,取締役,取締役,16,16,16,14,N/A
中部電力,田中　孝明,取締役,取締役,N/A,N/A,N/A,16,16,N/A,N/A,N/A
中部電力,水谷　良亮,取締役,取締役,取締役,取締役,N/A,16,16,16,14,N/A
中部電力,伊藤　範久,取締役,取締役,副社長,副社長,副社長,16,26,26,24,N/A
中部電力,水野　明久,N/A,取締役,副社長,社長,社長,N/A,16,26,30,N/A
中部電力,藍田　正和,N/A,N/A,取締役,N/A,N/A,N/A,N/A,16,14,N/A
中部電力,大野　智彦,N/A,N/A,取締役,取締役,副社長,N/A,N/A,16,14,15
中部電力,阪口　正敏,N/A,N/A,取締役,副社長,副社長,N/A,N/A,16,24,N/A
中部電力,松原　和弘,N/A,N/A,取締役,副社長,副社長,N/A,N/A,16,24,N/A
中部電力,勝野　哲,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,14,N/A
中部電力,野田　勝治,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,14,N/A
中部電力,松山　彰,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,14,N/A
中部電力,勝又　英子,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,N/A,N/A
中部電力,松下　雋,N/A,N/A,N/A,取締役,取締役,N/A,N/A,N/A,N/A,N/A
中部電力,石田　篤志,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A
中部電力,山崎　広美,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,9,N/A
中部電力,渡邉　穣,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,9,N/A
中部電力,増田　勝治,N/A,N/A,N/A,N/A,取締役,N/A,N/A,N/A,N/A,N/A
東北電力,幕田　圭一,会長,会長,N/A,N/A,N/A,30,35,N/A,N/A,N/A
東北電力,高橋　宏明,社長,社長,社長,会長,会長,30,30,20,25,N/A
東北電力,斉藤　恒夫,副社長,副社長,N/A,N/A,N/A,25,25,N/A,N/A,N/A
東北電力,仁志　武雄,副社長,副社長,N/A,N/A,N/A,25,25,N/A,N/A,N/A
