Yakuza Group,Representative(Including second-in-command),Approximate number of members,Location of Main Office,latitude,longitude
Sixth Yamaguchi-gumi,Kenichi Shinoda,19000,"4-3-1 Shinohara-honmachi, Nada-ku, Kobe City, Hyogo",34.720022,135.2264577
Inagawa-kai,Sin Byon-Gyu,4700,"7-8-4 Roppongi, Minato-ku, Tokyo",35.6651999,139.7295315
Sumiyoshi-kai,Shigeo Nishiguchi,6100,"6-4-1 Akasaka, Minato-ku, Tokyo",35.67073,139.734992
Fourth Kudo-kai,Satoru Nomura,690,"1-1-12 Kantake, Kokurakita-ku, Kitakyushu City, Fukuoka",33.8727382,130.8903182
Third Kyokuryu-kai,Yoshihiro Onaga,270,"4-301-6 Shuri Ishimine-cho, Naha City, Okinawa",26.2351148,127.7300069
Okinawa Kyokuryu-kai,Kiyoshi Tominaga,370,"2-6-19 Tsuji, Naha City, Okinawa",26.2169979,127.6714126
Sixth Aisukotetsu-kai,Yoshitsugu Baba,470,"176-1 Higashi-tagasegawa-suji, Uenokuchi-agaru Iwataki-cho, Shimogyo-ku, Kyoto City, Kyoto",34.993083,135.765778
Fifth Kyosei-kai,Atsumu Moriya,290,"18-10 Minami-oko-cho, Minami-ku, Hiroshima City, Hiroshima",34.3709662,132.4848377
Seventh Goda-ikka,Kim Kyo-Hwan,160,"3-13-6 Takezaki-cho, Shimonoseki City, Y a ma guc hi",33.9518921,130.9213914
Fourth Kozakura-ikka,Kiei Hiraoka,100,"9-1 Kotsuki-cho, Kagoshima City, Kagoshima",31.5810332,130.5582189
Third Asano-gumi,Yoshiaki Kushita,130,"615-11, Kasaoka, Kasaoka City, Okayama",34.5006165,133.5093465
Dojin-kai,Tetsuji Kobayashi,840,"247-6 Kyo-machi, Kurume City, Fukuoka",33.3189308,130.4992328
Second Shinwa-kai,Hirofumi Kira,70,"2-14-4 Shiogami-cho, Takamatsu City, Kagawa",34.337926,134.056009
Soai-kai,Masanori Shioshima,230,"1343-8 Uruido, Ichihara City, Chiba",35.522761,140.167519
Third Kyodo-kai,Nozomu Watanabe,180,"3025-1 sanba-cho, Onomichi City, Hiroshima",34.425889,133.229194
Taishu-kai,Hiroshi Hidaka,170,"1314-1 Ugeta, Oaza, Tgawa-city, Fukuoka",33.633514,130.78428
Seventh Sakaume-gumi,Nam Yeoil,110,"1-3-17 Taishi, Nishinari-ku, Osaka-City, Osaka",34.6484651,135.5037524
Kyokuto-kai,Jo Gyu Hwa,1200,"1-29-5 Nishi-ikebukuro, Toshima-ku, Tokyo",35.7322141,139.7110941
Second Azuma-gumi,Hiroshi Takimoto,170,"1-11-8 Sanno, Nishi-nari-ku,",34.6470736,135.5064078
Matsuba-kai,Yoshiro Ogino,1200,"2-9-8 Nishi-asakusa, Taito-ku, Tokyo",35.7128685,139.790267
Third Fukuhaku-kai,Kim In Sun,300,"5-18-15 Chiyo, Hakata-ku, Fukuoka City, Fukuoka",33.6085946,130.4119253
Kyushu Seido-kai,Park Jeong Ho,380,"2-4-2 Jyokan-cho, Omuta City, Fukuoka",33.0251767,130.4518459
