暴力団,代表者( 代 表 す る 者 に 代 わ る べ き 者 を 含 む 。),主たる事務所の所在地
六代目山口組,篠田 建市,兵庫県神戸市灘区篠原本町 4-3-1
稲川会,辛 炳圭,東京都港区六本木 7-8-4
住吉会,西口 茂男,東京都港区赤坂 6-4-21
四代目工藤會,野村 悟,福岡県北九州市小倉北区神岳1-1-12
三代目旭琉会,翁長 良宏,沖縄県那覇市首里石嶺町 4-301-6
沖縄旭琉会,富永 清,沖縄県那覇市辻 2-6-19
六代目会津小鉄会,馬場 美次,京都府京都市下京区東高瀬川筋上ノ口上る岩滝町176-1
五代目共政会,守屋 輯,広島県広島市南区南大河町 18-10
七代目合田一家,金 教煥,山口県下関市竹崎町 3-13-6
四代目小桜一家,平岡 喜榮,鹿児島県鹿児島市甲突町 9-1
三代目浅野組,串田 芳明,岡山県笠岡市笠岡 615-11
道仁会,小林 哲治,福岡県久留米市京町 247-6
二代目親和会,吉良 博文,香川県高松市塩上町 2-14-4
双愛会,塩島 正則,千葉県市原市潤井戸1343-8
三代目俠道会,渡邉 望,広島県尾道市山波町 3025-1
太州会,日高 博,福岡県田川市大字弓削田 1314-1
七代目酒梅組,南 與一,大阪府大阪市西成区太子1-3-17
極東会,曺 圭化,東京都豊島区西池袋 1-29-5
二代目東組,滝本 博司,大阪府大阪市西成区山王1-11-8
松葉会,荻野 義朗,東京都台東区西浅草 2-9-8
三代目福博会,金 寅純,福岡県福岡市博多区千代 5-18-15
九州誠道会,朴 政浩,福岡県大牟田市上官町 2-4-2
